Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,42.0,-58.0,-20.0,10.29,45306,1.00,1.00,0.98
1a,18.0,-100.0,10.0,8.41,,,,
1b,48.0,-67.0,16.0,7.28,,,,
2,-12.0,-103.0,7.0,8.91,14499,1.00,1.00,0.95
2a,-48.0,-67.0,19.0,7.23,,,,
2b,-51.0,-79.0,10.0,7.18,,,,
3,21.0,-7.0,-17.0,8.31,3672,1.00,1.00,0.80
3a,33.0,-7.0,-11.0,6.49,,,,
4,-18.0,-7.0,-17.0,7.13,2160,1.00,1.00,0.66
5,-36.0,-61.0,-20.0,7.10,6723,1.00,1.00,0.89
5a,-33.0,-73.0,-17.0,6.68,,,,
6,15.0,-31.0,-2.0,6.57,918,1.00,1.00,0.21
7,9.0,-88.0,-8.0,5.63,216,1.00,1.00,0.00
8,27.0,-1.0,70.0,5.57,594,1.00,1.00,0.00
9,24.0,-22.0,-11.0,5.47,27,1.00,1.00,0.00
10,51.0,-43.0,16.0,5.46,324,1.00,1.00,0.00
11,36.0,-43.0,-11.0,5.41,27,1.00,1.00,0.00
12,48.0,23.0,28.0,5.36,297,1.00,1.00,0.00
12a,51.0,32.0,28.0,5.23,,,,
13,36.0,-40.0,67.0,5.35,297,1.00,1.00,0.00
14,36.0,-37.0,55.0,5.32,162,1.00,1.00,0.00
15,-9.0,-52.0,43.0,5.22,108,1.00,1.00,0.00
16,21.0,-25.0,-8.0,5.11,27,1.00,1.00,0.00
17,48.0,-22.0,13.0,5.09,27,1.00,1.00,0.00
18,-6.0,-94.0,-8.0,5.05,27,1.00,1.00,0.00
19,36.0,-7.0,-38.0,5.04,27,1.00,1.00,0.00
20,-15.0,-34.0,-5.0,5.04,27,1.00,1.00,0.00
