Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-6.0,-103.0,7.0,15.56,192429.0,7127.0,1.0,1.0,1.0,1.0
1a,12.0,-97.0,16.0,15.52,,,,,,
1b,27.0,-85.0,22.0,13.98,,,,,,
1c,3.0,-79.0,-2.0,13.95,,,,,,
2,-48.0,-22.0,16.0,12.79,33669.0,1247.0,1.0,1.0,0.98,1.0
2a,-42.0,-4.0,13.0,9.23,,,,,,
2b,-51.0,-40.0,22.0,8.95,,,,,,
2c,-60.0,-28.0,-2.0,7.86,,,,,,
3,-42.0,-16.0,61.0,12.31,25299.0,937.0,1.0,1.0,0.97,1.0
3a,-36.0,-25.0,52.0,11.64,,,,,,
3b,-54.0,-19.0,49.0,11.04,,,,,,
3c,-3.0,-7.0,52.0,8.51,,,,,,
4,24.0,-52.0,-26.0,11.8,24786.0,918.0,1.0,1.0,0.97,1.0
4a,6.0,-64.0,-20.0,8.94,,,,,,
4b,-15.0,-79.0,-35.0,7.53,,,,,,
4c,-15.0,-88.0,-32.0,7.31,,,,,,
5,60.0,-28.0,-5.0,9.66,11556.0,428.0,1.0,1.0,0.94,1.0
5a,69.0,-43.0,4.0,7.54,,,,,,
5b,66.0,-49.0,19.0,5.97,,,,,,
6,-30.0,35.0,-14.0,8.85,3483.0,129.0,1.0,1.0,0.79,0.99
7,60.0,-16.0,16.0,6.66,1512.0,56.0,1.0,1.0,0.52,0.98
7a,57.0,-28.0,13.0,5.28,,,,,,
8,-18.0,-97.0,-11.0,6.64,432.0,16.0,1.0,1.0,0.0,0.94
9,-12.0,-16.0,7.0,6.64,216.0,8.0,1.0,1.0,0.0,0.88
10,-6.0,62.0,34.0,6.62,3159.0,117.0,1.0,1.0,0.77,0.99
10a,-9.0,62.0,16.0,6.34,,,,,,
10b,-12.0,56.0,40.0,6.14,,,,,,
10c,-15.0,47.0,43.0,5.55,,,,,,
11,-24.0,2.0,-11.0,6.54,1485.0,55.0,1.0,1.0,0.51,0.98
11a,-21.0,8.0,7.0,5.76,,,,,,
11b,-24.0,-1.0,1.0,5.29,,,,,,
12,30.0,35.0,-14.0,6.42,513.0,19.0,1.0,1.0,0.0,0.95
13,42.0,-52.0,43.0,6.34,3078.0,114.0,1.0,1.0,0.76,0.99
13a,42.0,-64.0,49.0,6.11,,,,,,
13b,51.0,-43.0,43.0,5.41,,,,,,
14,-54.0,35.0,7.0,6.05,459.0,17.0,1.0,1.0,0.0,0.94
15,0.0,-25.0,7.0,6.01,621.0,23.0,1.0,1.0,0.0,0.96
15a,3.0,-7.0,10.0,5.51,,,,,,
16,-9.0,-1.0,10.0,5.94,189.0,7.0,1.0,1.0,0.0,0.86
17,-6.0,56.0,-5.0,5.76,1971.0,73.0,1.0,1.0,0.63,0.99
17a,-3.0,44.0,-14.0,5.6,,,,,,
18,-18.0,20.0,4.0,5.71,594.0,22.0,1.0,1.0,0.0,0.95
18a,-12.0,11.0,-2.0,5.6,,,,,,
19,9.0,-1.0,7.0,5.63,162.0,6.0,1.0,1.0,0.0,0.83
20,-21.0,17.0,-23.0,5.61,108.0,4.0,1.0,1.0,0.0,0.75
21,45.0,14.0,46.0,5.56,378.0,14.0,1.0,1.0,0.0,0.93
22,33.0,-7.0,-32.0,5.49,189.0,7.0,1.0,1.0,0.0,0.86
23,18.0,-28.0,67.0,5.44,81.0,3.0,1.0,1.0,0.0,0.67
24,48.0,-22.0,64.0,5.3,27.0,1.0,1.0,1.0,0.0,0.0
25,33.0,-25.0,61.0,5.25,162.0,6.0,1.0,1.0,0.0,0.83
26,-42.0,23.0,-29.0,5.25,27.0,1.0,1.0,1.0,0.0,0.0
27,-15.0,35.0,55.0,5.2,108.0,4.0,1.0,1.0,0.0,0.75
28,6.0,-58.0,43.0,5.19,81.0,3.0,1.0,1.0,0.0,0.67
29,-39.0,23.0,-32.0,5.12,27.0,1.0,1.0,1.0,0.0,0.0
30,12.0,5.0,7.0,5.12,27.0,1.0,1.0,1.0,0.0,0.0
31,6.0,-22.0,55.0,5.07,27.0,1.0,1.0,1.0,0.0,0.0
32,-39.0,-25.0,-2.0,5.04,27.0,1.0,1.0,1.0,0.0,0.0
33,-15.0,8.0,-5.0,5.02,27.0,1.0,1.0,1.0,0.0,0.0
34,12.0,11.0,7.0,5.02,27.0,1.0,1.0,1.0,0.0,0.0
35,-24.0,35.0,52.0,5.01,27.0,1.0,1.0,1.0,0.0,0.0
36,-33.0,14.0,10.0,5.01,27.0,1.0,1.0,1.0,0.0,0.0
